,MEAN,STD,RANGE
bedrooms,3.3752,0.9432464849620393,32.0
bathrooms,2.118875,0.765128111153736,7.25
sqft_living,2080.2232,911.3343582972265,9520.0
sqft_lot,15089.2014,41203.89491834835,1650787.0
floors,1.5037,0.5426469907552133,2.5
sqft_above,1793.0993,830.8654344576676,8490.0
sqft_basement,287.1239,435.0052635390847,2720.0
long,-122.21328650000005,0.14140468502226053,1.1949999999999932
lat,47.559814190000175,0.13865058954163081,0.621699999999997
sqft_lot15,12746.3234,28241.24304256581,870540.0
sqft_living15,1994.3261,691.9003010271379,5650.0
yr_built,1971.1249,29.48059379542843,115.0
yr_renovated,81.2267,394.3798040596506,2015.0
,grade
7.0,41.3
8.0,28.38
9.0,11.82
6.0,9.33
10.0,5.47
11.0,2.1
5.0,1.05
12.0,0.38999999999999996
4.0,0.11
13.0,0.05
,waterfront
0.0,99.3
1.0,0.7000000000000001
,condition
3.0,65.3
4.0,25.69
5.0,8.12
2.0,0.76
1.0,0.13
,zipcode
98103.0,2.82
98115.0,2.76
98038.0,2.67
98052.0,2.67
98042.0,2.6
98034.0,2.56
98117.0,2.46
98023.0,2.35
98006.0,2.35
98059.0,2.31
98133.0,2.2800000000000002
98118.0,2.1999999999999997
98074.0,2.11
98058.0,2.1
98155.0,2.07
98027.0,2.03
98033.0,1.87
98125.0,1.87
98053.0,1.8599999999999999
98092.0,1.7999999999999998
98075.0,1.77
98056.0,1.72
98126.0,1.72
98001.0,1.6099999999999999
98029.0,1.6
98199.0,1.58
98144.0,1.55
98116.0,1.52
98106.0,1.5
98004.0,1.49
98065.0,1.43
98198.0,1.38
98122.0,1.38
98028.0,1.35
98072.0,1.34
98168.0,1.32
98031.0,1.32
98107.0,1.28
98003.0,1.27
98040.0,1.27
98136.0,1.26
98112.0,1.24
98166.0,1.22
98146.0,1.21
98178.0,1.15
98055.0,1.15
98030.0,1.1400000000000001
98045.0,1.13
98105.0,1.1199999999999999
98022.0,1.1199999999999999
98008.0,1.09
98177.0,1.09
98077.0,0.9400000000000001
98011.0,0.9199999999999999
98002.0,0.88
98019.0,0.83
98119.0,0.79
98108.0,0.77
98005.0,0.75
98188.0,0.66
98007.0,0.64
98070.0,0.53
98102.0,0.52
98014.0,0.52
98032.0,0.48
98109.0,0.47000000000000003
98010.0,0.42
98024.0,0.31
98148.0,0.27
98039.0,0.24
,view
0.0,90.3
2.0,4.25
3.0,2.5
1.0,1.6199999999999999
4.0,1.3299999999999998
,Month
5.0,11.23
7.0,10.37
6.0,10.299999999999999
4.0,10.08
10.0,8.870000000000001
8.0,8.74
3.0,8.459999999999999
9.0,8.38
12.0,6.84
11.0,6.4399999999999995
2.0,5.75
1.0,4.54
,Day
23.0,4.3999999999999995
24.0,3.88
20.0,3.7699999999999996
9.0,3.6700000000000004
5.0,3.53
16.0,3.52
2.0,3.47
17.0,3.45
8.0,3.44
12.0,3.42
13.0,3.4000000000000004
18.0,3.38
27.0,3.32
10.0,3.32
25.0,3.3000000000000003
22.0,3.27
4.0,3.2399999999999998
26.0,3.2099999999999995
7.0,3.2
21.0,3.16
14.0,3.1300000000000003
6.0,3.08
19.0,3.04
3.0,3.0300000000000002
30.0,3.0300000000000002
29.0,2.98
11.0,2.9499999999999997
15.0,2.88
28.0,2.87
1.0,2.4699999999999998
31.0,1.1900000000000002
,Year
14.0,68.15
15.0,31.85
